Abrangência;Localidade;Localidade;Casos Confirmados - Acumulado;Casos Confirmados - Novos;Casos Confirmados - Incremento;Casos Confirmados - Incidência*;Casos Confirmados - Em acompanhamento;Casos Confirmados - Recuperados;Óbitos Confirmados - Acumulado;Óbitos Confirmados - Novos;Óbitos Confirmados - Incremento;Óbitos Confirmados - Mortalidade*;Óbitos Confirmados - Letalidade
Município;171890;Santa Rosa do Tocantins;311;1;0,32;6.440,26;0;0;6;0;0,00;124,25;1,93
Município;171900;Santa Tereza do Tocantins;236;0;0,00;8.234,47;0;0;6;0;0,00;209,35;2,54
Município;172000;Santa Terezinha do Tocantins;162;0;0,00;6.405,69;0;0;3;0;0,00;118,62;1,85
Município;172010;São Bento do Tocantins;796;0;0,00;14.951,16;0;0;8;0;0,00;150,26;1,01
Município;172015;São Félix do Tocantins;140;0;0,00;8.832,81;0;0;2;0;0,00;126,18;1,43
Município;172020;São Miguel do Tocantins;611;3;0,49;5.033,36;0;0;15;0;0,00;123,57;2,45
Município;172025;São Salvador do Tocantins;164;-1;-0,61;5.321,22;0;0;2;0;0,00;64,89;1,22
Município;172030;São Sebastião do Tocantins;556;0;0,00;11.571,28;0;0;7;0;0,00;145,68;1,26
Município;172049;São Valério da Natividade;439;0;0,00;11.085,86;0;0;12;0;0,00;303,03;2,73
Município;172065;Silvanópolis;912;6;0,66;16.879,51;0;0;23;0;0,00;425,69;2,52
Município;172080;Sítio Novo do Tocantins;659;0;0,00;7.298,70;0;0;9;0;0,00;99,68;1,37
Município;172085;Sucupira;256;18;7,56;13.021,36;0;0;0;0;0,00;0,00;0,00
Município;172090;Taguatinga;1.272;10;0,79;7.624,53;0;0;20;0;0,00;119,88;1,57
Município;172093;Taipas do Tocantins;157;0;0,00;7.309,12;0;0;0;0;0,00;0,00;0,00
Município;172097;Talismã;251;0;0,00;8.986,75;0;0;2;0;0,00;71,61;0,80
Município;172110;Tocantínia;748;1;0,13;9.913,85;0;0;12;0;0,00;159,05;1,60
Município;172120;Tocantinópolis;2.095;7;0,34;9.160,47;0;0;43;0;0,00;188,02;2,05
Município;172125;Tupirama;194;16;8,99;10.259,12;0;0;2;0;0,00;105,76;1,03
Município;172130;Tupiratins;160;-1;-0,62;5.990,27;0;0;3;0;0,00;112,32;1,88
Município;172208;Wanderlândia;896;7;0,79;7.669,26;0;0;15;0;0,00;128,39;1,67
Município;172210;Xambioá;2.250;2;0,09;19.497,40;0;0;30;1;3,45;259,97;1,33
Região;2;Nordeste;4.351.261;13.093;0,30;7.624,21;0;0;105.257;271;0,26;184,43;2,42
Unidade da Federação;21;Maranhão;314.866;1.064;0,34;4.450,29;0;0;8.946;27;0,30;126,44;2,84
Município;210005;Açailândia;5.381;33;0,62;4.785,45;0;0;214;1;0,47;190,32;3,98
Município;210010;Afonso Cunha;226;9;4,15;3.464,13;0;0;3;0;0,00;45,98;1,33
Município;210015;Água Doce do Maranhão;675;0;0,00;5.369,50;0;0;9;0;0,00;71,59;1,33
Município;210020;Alcântara;306;0;0,00;1.384,80;0;0;16;0;0,00;72,41;5,23
Município;210030;Aldeias Altas;976;0;0,00;3.678,58;0;0;14;0;0,00;52,77;1,43
Município;210040;Altamira do Maranhão;318;0;0,00;3.912,40;0;0;11;0;0,00;135,33;3,46
